"","darkness","anger","emotional_bonds","age_started","midichlorian","dojo_id","murders"
"92",5.1,10.3,14.4,4,1543,"dojo_4",1
"93",7.4,14.9,8.7,4,1126,"dojo_4",2
"94",2.7,4.8,13.8,4,1073,"dojo_4",1
"95",6.1,10.4,12.2,4,1643,"dojo_4",1
"96",7,15.5,11.5,4,891,"dojo_4",1
"97",9.3,17.7,13.7,4,1288,"dojo_4",2
"98",6.8,12.9,13.6,4,788,"dojo_4",1
"99",5.1,7.6,13.4,4,1304,"dojo_4",1
"100",3.5,6.6,17,4,1487,"dojo_4",0
"101",4.7,10.4,12.6,4,1179,"dojo_4",1
"102",3.4,9.6,15.6,4,1049,"dojo_4",0
"103",6,14.3,11.4,4,1111,"dojo_4",1
"104",9.9,15.9,10.2,4,1536,"dojo_4",2
"105",8,15.1,11.8,4,1190,"dojo_4",3
"106",6.1,15,10,4,1197,"dojo_4",1
"107",7.3,10.2,19.6,4,1187,"dojo_4",2
"108",4.9,9.2,10.7,4,1256,"dojo_4",1
"109",3.1,7.8,8.4,4,902,"dojo_4",0
"110",5.7,11.5,13.4,4,1346,"dojo_4",1
"111",8.1,18.2,10.9,4,1079,"dojo_4",5
"112",8.3,14,12.5,4,1350,"dojo_4",2
"113",5.9,10.9,9.9,4,1384,"dojo_4",1
"114",2.8,10.3,7.6,4,1195,"dojo_4",0
"115",5.6,9.8,6.3,4,1105,"dojo_4",1
"116",3,5.8,13.9,3,825,"dojo_5",0
"117",3.3,9.3,9.9,3,1538,"dojo_5",1
"118",3.5,10.4,10.2,3,1400,"dojo_5",0
"119",9.8,15.6,7.6,3,1391,"dojo_5",2
"120",8.1,19.4,8.5,3,973,"dojo_5",2
"121",5.1,8.7,12,3,1457,"dojo_5",1
"122",5.2,10.3,8.6,3,1507,"dojo_5",1
"123",7.2,12.1,19.9,3,1270,"dojo_5",1
"124",4.7,10.6,11.8,3,901,"dojo_5",1
"125",9.7,18.2,8.5,3,1092,"dojo_5",2
"126",6.6,12.4,14,3,1252,"dojo_5",1
"127",3.9,7.5,7,3,974,"dojo_5",0
"128",6.5,11.8,15.5,3,1397,"dojo_5",1
"129",5.7,8.5,17,3,1094,"dojo_5",1
"130",6,10.2,13.9,3,1169,"dojo_5",1
"131",4.2,6.8,9.6,3,1055,"dojo_5",0
"132",2,6.9,12.4,3,1013,"dojo_5",0
"133",4.4,10.2,15.2,3,1173,"dojo_5",0
"134",8.1,15.2,13.2,3,1225,"dojo_5",2
"135",3.9,10.6,6.7,3,1005,"dojo_5",0
"136",4.4,11.2,9.4,8,1388,"dojo_6",1
"137",3.6,8,18.6,8,1279,"dojo_6",0
"138",6.3,12.6,9.1,8,1220,"dojo_6",2
"139",5.6,9.6,14.6,8,935,"dojo_6",1
"140",2.4,8.5,7.4,8,1202,"dojo_6",0
"141",3.6,10.4,11.6,8,1445,"dojo_6",1
"142",8.4,15.7,13.1,8,1163,"dojo_6",2
"143",5.2,10.1,16.9,8,1134,"dojo_6",1
"144",6.3,11.9,12.1,8,1249,"dojo_6",1
"145",4.8,11.8,12.3,8,865,"dojo_6",1
"146",10.4,18.6,12.5,8,1237,"dojo_6",3
"147",4.8,9.6,13.1,8,1295,"dojo_6",1
"148",6.2,11.2,13.8,8,650,"dojo_6",1
"149",3.9,11.5,4.9,8,1039,"dojo_6",2
"150",7.6,13.4,11.4,8,1078,"dojo_6",1
"151",6.4,13,16.4,8,1202,"dojo_6",1
"152",4.4,10.7,12.5,8,1522,"dojo_6",1
"153",4.7,18.7,11.9,8,1555,"dojo_6",2
"154",4.9,7.6,14.5,8,1121,"dojo_6",1
"155",7.3,12.1,12.2,8,915,"dojo_6",1
"156",3.5,11.1,7.8,8,1178,"dojo_6",1
"157",4.3,11.1,10.3,8,1004,"dojo_6",1
"158",5.9,12.3,13.7,8,1038,"dojo_6",1
"159",6.7,13.9,7.7,8,1079,"dojo_6",1
"160",2.9,7.9,13.2,8,1276,"dojo_6",0
"161",5.7,12.4,16.1,8,1414,"dojo_6",1
"162",6,12.4,9.6,8,1109,"dojo_6",1
"163",4.3,9.8,12.7,8,1283,"dojo_6",1
"164",5.2,11.5,10.5,8,910,"dojo_6",1
"165",3.2,3.6,9,8,1132,"dojo_6",2
"166",1.5,9.1,12.7,8,1538,"dojo_6",2
"167",7.5,12.8,11.7,1,1074,"dojo_7",1
"168",5.1,11,12.1,1,1420,"dojo_7",1
"169",3.4,4.2,13.3,1,1301,"dojo_7",0
"170",9,14.2,14,1,1041,"dojo_7",2
"171",7.1,12,13.6,1,1412,"dojo_7",2
"172",7.4,15.5,16.1,1,1090,"dojo_7",1
"173",2.8,9,12.5,1,1574,"dojo_7",0
"174",6.2,13,14.3,1,1196,"dojo_7",1
"175",2.2,9.7,9.7,1,1237,"dojo_7",1
"176",4.6,14.5,10.4,1,1456,"dojo_7",1
"177",3.3,9,11.8,1,1375,"dojo_7",0
"178",6.2,8.7,16.3,1,1017,"dojo_7",1
"179",5.5,11.3,5.5,1,1098,"dojo_7",1
"180",7.1,16.2,10.5,1,1380,"dojo_7",1
"181",6.2,15.2,10.2,1,1417,"dojo_7",1
"182",6.6,13.5,6.3,1,1346,"dojo_7",1
"183",4.1,5.4,16,1,1621,"dojo_7",0
"184",6.5,14.8,15.1,1,1186,"dojo_7",1
"185",9.5,14.6,15.6,1,880,"dojo_7",2
"186",4.7,8,11.6,1,1258,"dojo_7",0
"187",5.9,12.9,12,1,1456,"dojo_7",2
"188",6,12.4,15,1,1085,"dojo_7",1
"189",3.4,11,10.2,3,1247,"dojo_8",0
"190",4,9.9,7,3,1484,"dojo_8",1
"191",4.6,14.2,7.8,3,765,"dojo_8",0
"192",5.2,5.7,14.2,3,1078,"dojo_8",0
"193",5.2,8.6,11.2,3,1129,"dojo_8",1
"194",4.1,10.8,13.4,3,1430,"dojo_8",1
"195",3.3,13.3,11.8,3,989,"dojo_8",1
"196",4.6,7.9,14.9,3,1289,"dojo_8",1
"197",4.9,13.3,14.7,3,1080,"dojo_8",3
"198",5.2,14.4,9.9,3,1124,"dojo_8",1
"199",6,7.9,3.8,3,1140,"dojo_8",1
"200",4.3,5.6,13.3,3,1122,"dojo_8",1
"201",5.5,11,11.6,3,1349,"dojo_8",1
"202",3.5,10.9,9.8,3,1391,"dojo_8",1
"203",5.1,11.6,8.3,3,1373,"dojo_8",1
"204",4.4,10.1,14.9,3,1419,"dojo_8",1
"205",5,14.7,14.3,3,1101,"dojo_8",2
"206",3.9,9.8,14.8,3,1547,"dojo_8",1
"207",4.3,8.5,13.7,3,1417,"dojo_8",1
"208",4.8,12.2,17.5,3,1160,"dojo_8",1
"209",3.9,13.9,11.2,3,1290,"dojo_8",1
"210",4.6,12,16.1,3,1419,"dojo_8",1
"211",4.3,9.5,7.9,3,1319,"dojo_8",1
"212",5.4,5.2,8,3,1042,"dojo_8",0
"213",5.7,13.2,10.5,3,1212,"dojo_8",1
"214",4.7,10.2,8.4,3,1097,"dojo_8",1
"215",4.5,12.2,14.9,3,1391,"dojo_8",1
"216",5.8,17.2,11.3,3,963,"dojo_8",1
"217",5.8,17,11.6,9,1067,"dojo_9",1
"218",2.9,12.6,9.1,9,1435,"dojo_9",1
"219",4.2,12.4,7.6,9,1285,"dojo_9",2
"220",5.1,13.7,11.8,9,1311,"dojo_9",1
"221",4.7,15.3,11.4,9,1016,"dojo_9",1
"222",1.6,11.5,10.5,9,1346,"dojo_9",1
"223",1.2,9.3,13.3,9,1200,"dojo_9",0
"224",4.3,14.9,6.2,9,1058,"dojo_9",1
"225",4.2,14,8.4,9,999,"dojo_9",1
"226",5.7,14.2,13.8,9,1192,"dojo_9",1
"227",4.2,11.2,9.4,9,1434,"dojo_9",1
"228",5.1,17.1,9,9,1100,"dojo_9",1
"229",3.8,12.2,11.3,9,1236,"dojo_9",1
"230",5.1,12.9,15.6,9,863,"dojo_9",1
"231",2.7,9.7,9.7,9,1270,"dojo_9",0
"232",3.9,10.9,9,9,1321,"dojo_9",1
"233",2.6,11.7,8.4,9,893,"dojo_9",0
"234",4,13.1,9.7,9,1300,"dojo_9",2
"235",2.7,12.7,9.1,9,1141,"dojo_9",1
"236",5.6,12.8,17.4,9,1072,"dojo_9",1
"237",3.2,15.1,10.6,9,1196,"dojo_9",1
"238",6.7,16.6,11,9,1225,"dojo_9",1
"239",3.9,11.2,7.9,9,1386,"dojo_9",1
"240",4.2,13.4,9.9,9,1206,"dojo_9",1
"241",4.8,16.7,7.2,9,953,"dojo_9",1
"242",6.2,13.6,8.6,6,1470,"dojo_10",1
"243",7.2,6.7,5.7,6,1750,"dojo_10",2
"244",7.3,15.6,10.8,6,822,"dojo_10",1
"245",7.7,15.9,12.1,6,1062,"dojo_10",2
"246",7.9,13.4,5.4,6,1272,"dojo_10",3
"247",6.5,10.7,17.5,6,1116,"dojo_10",1
"248",2.6,8.4,10.9,6,1004,"dojo_10",0
"249",3.4,6.9,16.8,6,927,"dojo_10",2
"250",4.7,12.9,17.4,6,1104,"dojo_10",1
"251",4.9,13.6,11.9,6,1111,"dojo_10",1
"252",5.7,11.4,14.8,6,1114,"dojo_10",1
"253",6,15.3,9.8,6,1046,"dojo_10",1
"254",4.9,10,9.1,6,1293,"dojo_10",2
"255",4.1,8.4,11.2,6,1384,"dojo_10",1
"256",6.1,13.3,12.8,1,1328,"dojo_11",1
"257",3.4,4.5,8,1,1618,"dojo_11",1
"258",3.6,8.6,14.1,1,1071,"dojo_11",0
"259",3.9,8.3,15.8,1,943,"dojo_11",0
"260",6.7,14.3,11,1,1699,"dojo_11",1
"261",2,8.4,12.5,1,1332,"dojo_11",0
"262",1.6,10.3,11.2,1,1010,"dojo_11",0
"263",5.1,9.6,9.6,1,1233,"dojo_11",2
"264",1,6,17.3,1,1015,"dojo_11",0
"265",3.7,11.5,13.5,1,922,"dojo_11",0
"266",1.7,12.2,13.4,1,1138,"dojo_11",0
"267",1.3,6.6,11.7,1,1067,"dojo_11",0
"268",8.1,18.3,11.2,1,1402,"dojo_11",2
"269",4,11.8,10.8,1,1202,"dojo_11",0
"270",4.3,12.8,12.4,1,937,"dojo_11",0
"271",3.5,15,11.8,1,1062,"dojo_11",0
"272",2.9,6.6,13.4,1,1277,"dojo_11",0
"273",5.3,11.4,12.3,1,1006,"dojo_11",1
"274",4.1,13.8,11.6,1,1058,"dojo_11",0
"275",3.6,12.8,12.2,1,1102,"dojo_11",0
"276",6.9,15,14.5,1,1169,"dojo_11",1
"277",6.1,18.7,16.6,1,932,"dojo_11",1
"278",3.8,8.3,12.6,1,1445,"dojo_11",0
"279",4,13.1,10,1,971,"dojo_11",1
"280",5.9,12.5,13.5,1,1561,"dojo_11",3
"281",4.7,12.4,11.9,1,844,"dojo_11",0
"282",1.5,7.4,8,1,882,"dojo_11",0
"283",3.7,14.4,5.3,1,1461,"dojo_11",1
"284",5.1,14.2,15.6,1,1233,"dojo_11",1
"285",5.7,8.1,12.3,4,1144,"dojo_12",1
"286",4,8.4,11.6,4,1333,"dojo_12",0
"287",6.7,14.6,12,4,1185,"dojo_12",1
"288",6,10.5,13.2,4,1117,"dojo_12",1
"289",6.5,8.3,12.4,4,1492,"dojo_12",1
"290",9.3,14.5,13.5,4,1029,"dojo_12",2
"291",5.1,9.5,12.4,4,655,"dojo_12",0
"292",8.7,11.8,13.9,4,1236,"dojo_12",2
"293",3.7,9.3,12,4,1116,"dojo_12",0
"294",6.8,11.1,16.5,4,1432,"dojo_12",1
"295",5.6,9,13.7,4,1078,"dojo_12",1
"296",9.8,21.2,13.3,4,1295,"dojo_12",2
"297",5,10.3,11,4,1482,"dojo_12",1
"298",6.2,12.5,11.7,4,1188,"dojo_12",2
"299",6.3,13.4,13.5,4,1370,"dojo_12",1
"300",2.6,2.5,5.7,4,998,"dojo_12",0
"301",1.3,5.2,9,4,1179,"dojo_13",0
"302",3.9,14,16.2,4,1454,"dojo_13",2
"303",6.5,15.5,7.6,4,1471,"dojo_13",2
"304",6.9,14,14.9,4,1327,"dojo_13",1
"305",3.5,9.5,10.1,4,571,"dojo_13",0
"306",6.1,12.6,16.3,4,1348,"dojo_13",1
"307",4.4,13.3,13.4,4,1997,"dojo_13",1
"308",2.8,5.9,12.8,4,1237,"dojo_13",0
"309",4.3,12.4,10.3,4,981,"dojo_13",0
"310",4.6,12.2,14,4,1105,"dojo_13",1
"311",2.1,4.8,7.9,4,1158,"dojo_13",0
"312",6.3,12.6,11.3,4,850,"dojo_13",1
"313",5.8,13.2,10.8,4,1147,"dojo_13",2
"314",4.4,11.1,10.4,4,901,"dojo_13",0
"315",3,6.5,14.5,4,1456,"dojo_13",0
"316",5.5,12,11.5,4,1227,"dojo_13",2
"317",4.8,15.5,13.1,4,1377,"dojo_13",1
"318",6,14.3,8.8,4,1532,"dojo_13",1
"319",0.8,7.8,13.1,4,1171,"dojo_13",1
"320",3.6,8.8,18.2,4,836,"dojo_13",0
"321",2.7,6.3,12.3,4,1318,"dojo_13",0
"322",5.9,18.5,8.7,4,1352,"dojo_13",2
"323",6.4,17.1,14,4,1209,"dojo_13",1
"324",5.3,13.8,13.7,4,1024,"dojo_13",1
"325",5.7,16.9,9.7,4,1121,"dojo_13",1
"326",7.1,14.5,11.8,4,838,"dojo_13",1
"327",7.5,10.8,13.5,7,1498,"dojo_14",2
"328",4.7,10.7,15.3,7,1250,"dojo_14",1
"329",6.6,14.9,11.8,7,1425,"dojo_14",2
"330",2.4,14.9,8.9,7,760,"dojo_14",0
"331",2.6,10,9.3,7,1278,"dojo_14",1
"332",7.1,15.2,15.6,7,1184,"dojo_14",1
"333",5.2,9.3,11.3,7,1424,"dojo_14",1
"334",6.6,13.7,13.6,7,1464,"dojo_14",1
"335",5.8,16.3,13.3,7,806,"dojo_14",1
"336",1.1,6.3,11.7,7,1120,"dojo_14",0
"337",4.7,15.9,8.1,1,918,"dojo_15",1
"338",7.8,8.9,11.5,1,1415,"dojo_15",1
"339",5.6,13.7,12.6,1,1165,"dojo_15",1
"340",4.5,12.2,11.2,1,1147,"dojo_15",1
"341",5.7,10.8,12.5,1,1235,"dojo_15",1
"342",4.6,6.6,13.4,1,928,"dojo_15",0
"343",7.8,12.1,15.2,1,1669,"dojo_15",2
"344",9.5,14.1,18.7,1,857,"dojo_15",2
"345",6.5,14.4,14.4,1,1189,"dojo_15",1
"346",8.9,9.4,17,1,1513,"dojo_15",2
"347",7.4,13,8.1,1,1265,"dojo_15",1
"348",4.5,8.9,14.5,1,1104,"dojo_15",0
"349",7.9,8.7,16.6,1,1424,"dojo_15",1
"350",7.8,7.8,11.7,1,1425,"dojo_15",1
"351",4.8,8.9,10.7,1,1224,"dojo_15",0
"352",7.3,12.2,14.2,1,1022,"dojo_15",2
"353",6.9,11.1,12.3,1,1187,"dojo_15",2
"354",6.8,11.7,10.2,1,1457,"dojo_15",1
"355",8,16.7,12.1,1,1314,"dojo_15",2
"356",6.2,11.6,13.3,1,1089,"dojo_15",1
"357",4.1,11.3,4.6,1,886,"dojo_15",0
"358",1.8,10.6,14.1,7,1205,"dojo_16",0
"359",0.4,11.2,9.5,7,1174,"dojo_16",0
"360",0.4,11,10,7,1260,"dojo_16",0
"361",5.5,16.5,9.5,7,1391,"dojo_16",1
"362",5.5,17.6,12,7,1187,"dojo_16",1
"363",3,12.3,11.3,7,1318,"dojo_16",1
"364",3.5,10.5,10.4,7,1486,"dojo_16",1
"365",4.3,14.9,14.2,7,1384,"dojo_16",1
"366",4.1,11.7,12.4,7,1199,"dojo_16",1
"367",3.1,13.5,12.5,7,1128,"dojo_16",0
"368",0.9,9.5,12.7,7,1022,"dojo_16",0
"369",5.7,17.3,8.1,7,1177,"dojo_16",1
"370",4,14.3,11.3,7,1170,"dojo_16",1
"371",1.7,10.2,13.9,7,1122,"dojo_16",0
"372",4.3,13.6,12.6,7,1329,"dojo_16",1
"373",4.6,13.6,16.8,7,1070,"dojo_16",1
"374",1.4,7.7,10.3,7,1200,"dojo_16",1
"375",5.6,17.6,12.7,7,1149,"dojo_16",1
"376",4.6,16.2,13.1,7,1227,"dojo_16",1
"377",1.6,11.9,8.7,7,1409,"dojo_16",1
"378",5.8,12.3,19.4,7,1644,"dojo_16",1
"379",6.1,9.1,14.2,-1,1415,"dojo_17",1
"380",7.7,13.3,11.9,-1,1387,"dojo_17",1
"381",5.5,8.8,14.4,-1,1363,"dojo_17",1
"382",8.5,12.8,19.4,-1,1540,"dojo_17",2
"383",8,18.1,15.4,-1,1218,"dojo_17",2
"384",5.6,8.5,13.6,-1,1424,"dojo_17",1
"385",5.7,17.7,17.2,-1,955,"dojo_17",1
"386",5.2,13.9,11.9,-1,1255,"dojo_17",1
"387",3.1,14.7,6.1,-1,1340,"dojo_17",2
"388",5.4,13.6,6.2,-1,1501,"dojo_17",1
"389",5.1,14.7,13.3,-1,679,"dojo_17",0
"390",5.1,11.8,12.1,-1,1085,"dojo_17",2
"391",6.8,15.3,17.6,-1,1078,"dojo_17",1
"392",5.9,15.7,9.3,-1,959,"dojo_17",1
"393",7.4,15.3,16,-1,1349,"dojo_17",1
"394",2.3,13.9,9.2,-1,1012,"dojo_17",0
"395",4.4,12.4,12.8,-1,1102,"dojo_17",1
"396",7.3,12.7,12.6,-1,1342,"dojo_17",1
"397",7.2,10.1,16.7,-1,1368,"dojo_17",1
"398",6,14.7,13.9,-1,1141,"dojo_17",2
"399",7.6,16.3,8.2,-1,1359,"dojo_17",2
"400",3.6,9,9.4,-1,1180,"dojo_17",1
"401",3.5,11.5,13,-1,1055,"dojo_17",0
"402",5.5,14,9.3,-1,1176,"dojo_17",1
"403",4.7,13.4,11.2,-1,1039,"dojo_17",0
"404",4.6,8.9,11.7,-1,1328,"dojo_17",0
"405",7.2,19.1,15.6,-1,1186,"dojo_17",1
"406",7.4,16,10.8,-1,1542,"dojo_17",2
"407",6.6,9.7,13.6,-1,1354,"dojo_17",1
"408",4.8,10.8,15.7,-1,1135,"dojo_17",0
"409",5.4,13.9,12.2,-1,1196,"dojo_17",1
"410",1.1,9.2,10.4,-1,967,"dojo_17",1
"411",6,14.6,15.2,-1,1075,"dojo_17",1
"412",3.9,9.3,14,3,1221,"dojo_18",0
"413",4.1,11.7,11.2,3,1428,"dojo_18",2
"414",5.4,7.6,7.1,3,801,"dojo_18",0
"415",7.3,14.1,12.6,3,1378,"dojo_18",1
"416",4.3,6.8,12.8,3,1294,"dojo_18",0
"417",8.7,15.9,13.4,3,971,"dojo_18",2
"418",5.7,8.1,14.4,3,1377,"dojo_18",1
"419",6.7,11.2,10.5,3,1065,"dojo_18",1
"420",3.4,11.1,5,3,1244,"dojo_18",0
"421",6.5,15,13.6,3,1106,"dojo_18",2
"422",7.6,12,16.5,3,1123,"dojo_18",1
"423",5.1,13.8,9.7,3,995,"dojo_18",1
"424",8.3,9.2,17.4,3,1132,"dojo_18",2
"425",8,18.7,11.7,3,1226,"dojo_18",3
"426",3.8,8.2,7.4,3,1374,"dojo_18",0
"427",5.6,14.2,10.3,3,1240,"dojo_18",1
"428",5.5,13.5,6,3,1391,"dojo_18",1
"429",6.4,12.9,13.5,3,1241,"dojo_18",1
"430",6.1,11.5,15.4,3,1293,"dojo_18",1
"431",4.3,12.7,8.5,3,1319,"dojo_18",1
"432",3.2,11.7,6.8,7,888,"dojo_19",0
"433",3.9,13.7,5.2,7,1134,"dojo_19",2
"434",3.9,11.7,13.2,7,787,"dojo_19",1
"435",6.1,14.5,16.1,7,989,"dojo_19",2
"436",0.9,10.1,9.8,7,912,"dojo_19",0
"437",2.5,7.5,15.1,7,1438,"dojo_19",0
"438",7.8,16.8,11.5,7,1537,"dojo_19",2
"439",2.5,10.9,14.2,7,1306,"dojo_19",0
"440",2.6,10.1,9.6,7,1048,"dojo_19",0
"441",1.8,9.7,9.5,7,1166,"dojo_19",0
"442",1.7,9.9,10.5,7,1309,"dojo_19",0
"443",2.9,10.2,16.1,7,810,"dojo_19",0
"444",4.2,12,7.6,7,899,"dojo_19",2
"445",5.7,12.9,16.6,7,1367,"dojo_19",1
"446",5.6,14.3,18.7,7,565,"dojo_19",1
"447",3.8,11.9,8.7,7,1045,"dojo_19",1
"448",2.7,10.3,15.6,7,915,"dojo_19",0
"449",5.3,14.8,13.5,7,1151,"dojo_19",1
"450",1.3,9.7,10.9,7,1068,"dojo_19",0
"451",4.3,15.4,14.5,7,1201,"dojo_19",1
"452",4.3,10.3,16.3,7,1056,"dojo_19",0
"453",2.2,12.6,12,7,1467,"dojo_19",1
"454",3.7,10.3,6.1,7,960,"dojo_19",0
"455",3.7,8.6,8.9,9,1467,"dojo_20",1
"456",4.4,14.3,10.4,9,1161,"dojo_20",1
"457",4.1,13.1,12.8,9,1384,"dojo_20",1
"458",3.7,8.9,18.8,9,1298,"dojo_20",0
"459",3.4,8.5,18.4,9,1030,"dojo_20",0
"460",2.2,10.1,8.5,9,1336,"dojo_20",0
"461",0.1,6.3,7.2,9,1347,"dojo_20",1
"462",3.3,10.9,12.6,9,1215,"dojo_20",0
"463",5.8,14.5,14.7,9,1272,"dojo_20",1
"464",2.9,9.6,8.4,9,939,"dojo_20",0
"465",8.5,15,19.2,9,1292,"dojo_20",2
"466",2.2,10.4,12.1,9,833,"dojo_20",0
"467",3.2,6.4,12,9,1473,"dojo_20",1
"468",4.5,11.5,11.4,9,1342,"dojo_20",1
"469",5.7,12.4,12.9,9,1464,"dojo_20",1
"470",7.7,15.3,14.4,9,1256,"dojo_20",2
"471",4.9,12.5,12.5,9,971,"dojo_20",2
"472",6.7,14.1,11.3,9,1347,"dojo_20",2
"473",1.2,8.6,8.8,9,994,"dojo_20",2
"474",0.5,10.2,18.5,-2,934,"dojo_21",1
"475",1.8,11.7,15.9,-2,1194,"dojo_21",0
"476",6.5,15.3,12,-2,1409,"dojo_21",2
"477",5.8,11,12.4,-2,1649,"dojo_21",1
"478",4.6,10.7,10.7,-2,1540,"dojo_21",1
"479",2.5,10.3,13.6,-2,1409,"dojo_21",0
"480",3.3,9.7,16,-2,1438,"dojo_21",0
"481",3.4,13.6,15.1,-2,1080,"dojo_21",1
"482",5.2,11.1,7.5,-2,1102,"dojo_21",1
"483",5,10.7,12.6,-2,1207,"dojo_21",1
"484",6.9,15.6,10.4,-2,1224,"dojo_21",1
"485",2.5,13.2,16.4,-2,1218,"dojo_21",0
"486",8.5,15.3,7.2,3,1171,"dojo_22",3
"487",7.5,14.7,13.2,3,1158,"dojo_22",2
"488",6,11.4,14.9,3,967,"dojo_22",1
"489",2.8,7,6.3,3,1196,"dojo_22",0
"490",6.4,12.5,12.6,3,1221,"dojo_22",2
